Transmitted Time,Latitude,Longitude,Altitude,Satellites,Direction
29/07/2025 06:06:36,17.726395,78.256775,549.40,12,0.00
29/07/2025 06:06:40,17.726397,78.256775,549.60,12,0.00
29/07/2025 06:06:43,17.726406,78.256775,550.10,12,357.96
29/07/2025 06:06:46,17.726450,78.256767,551.20,12,347.80
29/07/2025 06:06:49,17.726522,78.256760,552.30,12,345.32
29/07/2025 06:06:52,17.726578,78.256752,551.90,12,357.45
29/07/2025 06:06:55,17.726612,78.256752,550.50,12,0.01
29/07/2025 06:06:58,17.726702,78.256752,548.70,12,359.63
29/07/2025 06:07:01,17.726809,78.256767,546.90,12,12.77
29/07/2025 06:07:04,17.726875,78.256836,547.20,12,29.97
29/07/2025 06:07:08,17.726908,78.256996,547.20,12,81.68
29/07/2025 06:07:11,17.726919,78.257133,544.80,12,84.03
29/07/2025 06:07:14,17.726927,78.257278,542.20,12,85.24
29/07/2025 06:07:17,17.726938,78.257431,538.30,12,86.22
29/07/2025 06:07:20,17.726950,78.257591,538.00,12,87.64
29/07/2025 06:07:23,17.726957,78.257767,540.40,12,87.91
29/07/2025 06:07:26,17.726969,78.257935,539.60,12,86.18
29/07/2025 06:07:29,17.726984,78.258125,539.10,12,83.79
29/07/2025 06:07:33,17.726992,78.258339,540.00,12,93.71
29/07/2025 06:07:36,17.726969,78.258415,540.80,12,123.20
29/07/2025 06:07:39,17.726917,78.258438,540.90,12,160.44
29/07/2025 06:07:42,17.726881,78.258438,541.90,12,179.27
29/07/2025 06:07:45,17.726778,78.258446,540.30,12,173.31
29/07/2025 06:07:48,17.726625,78.258453,538.30,12,181.75
29/07/2025 06:07:51,17.726437,78.258469,536.60,12,174.45
29/07/2025 06:07:54,17.726217,78.258484,536.90,12,175.17
29/07/2025 06:07:57,17.725983,78.258514,536.40,12,175.78
29/07/2025 06:08:01,17.725693,78.258530,538.00,12,176.80
29/07/2025 06:08:04,17.725481,78.258537,540.20,12,179.24
29/07/2025 06:08:07,17.725294,78.258537,539.60,12,180.28
29/07/2025 06:08:10,17.725168,78.258514,540.80,12,206.54
29/07/2025 06:08:13,17.725115,78.258446,541.00,12,238.68
29/07/2025 06:08:16,17.725098,78.258408,541.00,12,250.47
29/07/2025 06:08:19,17.725080,78.258293,539.80,12,266.38
29/07/2025 06:08:22,17.725056,78.258141,538.90,10,266.95
29/07/2025 06:08:25,17.725042,78.257957,538.10,12,266.67
29/07/2025 06:08:29,17.725012,78.257683,535.70,12,260.85
29/07/2025 06:08:32,17.725004,78.257462,532.30,12,270.32
29/07/2025 06:08:35,17.725006,78.257217,532.50,11,268.44
29/07/2025 06:08:38,17.724995,78.256981,531.40,12,266.47
29/07/2025 06:08:41,17.724993,78.256775,530.90,12,270.46
29/07/2025 06:08:44,17.724998,78.256622,529.60,12,270.22
29/07/2025 06:08:47,17.724970,78.256546,527.90,12,240.15
29/07/2025 06:08:50,17.724926,78.256516,528.50,12,204.66
29/07/2025 06:08:53,17.724812,78.256500,530.10,12,188.63
29/07/2025 06:08:57,17.724653,78.256493,529.30,12,179.42
29/07/2025 06:09:00,17.724586,78.256454,528.00,12,205.63
29/07/2025 06:09:03,17.724566,78.256393,531.40,12,269.40
29/07/2025 06:09:06,17.724546,78.256264,534.80,12,272.54
29/07/2025 06:09:09,17.724533,78.256104,537.00,12,272.51
29/07/2025 06:09:12,17.724527,78.255997,536.50,12,270.56
29/07/2025 06:09:15,17.724533,78.255890,535.30,12,279.31
29/07/2025 06:09:18,17.724537,78.255791,534.60,12,266.21
29/07/2025 06:09:22,17.724518,78.255676,531.20,12,255.85
29/07/2025 06:09:25,17.724449,78.255630,530.40,12,203.33
29/07/2025 06:09:28,17.724356,78.255623,526.90,12,184.03
29/07/2025 06:09:31,17.724293,78.255600,527.50,12,195.78
29/07/2025 06:09:34,17.724266,78.255569,532.20,12,230.30
29/07/2025 06:09:37,17.724258,78.255486,528.40,12,273.40
29/07/2025 06:09:40,17.724247,78.255379,527.80,12,275.28
29/07/2025 06:09:43,17.724249,78.255257,523.00,12,271.56
29/07/2025 06:09:46,17.724241,78.255096,518.40,12,260.94
29/07/2025 06:09:50,17.724236,78.254883,521.30,12,273.18
29/07/2025 06:09:53,17.724260,78.254692,519.60,12,274.98
29/07/2025 06:09:56,17.724260,78.254593,518.90,12,269.35
29/07/2025 06:09:59,17.724257,78.254517,518.30,12,271.51
29/07/2025 06:10:02,17.724257,78.254387,520.50,12,271.85
29/07/2025 06:10:05,17.724260,78.254257,519.60,12,273.77
29/07/2025 06:10:08,17.724251,78.254166,528.40,12,269.77
29/07/2025 06:10:11,17.724274,78.254097,527.50,12,310.01
29/07/2025 06:10:14,17.724285,78.254059,528.80,12,307.42
29/07/2025 06:10:18,17.724302,78.254021,530.40,12,303.77
29/07/2025 06:10:21,17.724361,78.253998,533.70,12,356.92
29/07/2025 06:10:24,17.724434,78.253983,537.00,11,0.11
29/07/2025 06:10:27,17.724474,78.253975,538.00,11,2.30
29/07/2025 06:10:30,17.724535,78.253967,539.30,11,1.32
29/07/2025 06:10:33,17.724634,78.253952,538.80,11,355.18
29/07/2025 06:10:36,17.724752,78.253929,538.50,12,354.00
29/07/2025 06:10:39,17.724874,78.253922,536.10,12,357.25
29/07/2025 06:10:42,17.724962,78.253929,534.80,12,4.18
29/07/2025 06:10:46,17.725021,78.253998,534.40,12,76.29
29/07/2025 06:10:49,17.725016,78.254089,535.80,12,96.35
29/07/2025 06:10:52,17.725016,78.254234,537.30,12,93.69
29/07/2025 06:10:55,17.725021,78.254372,538.70,12,92.40
29/07/2025 06:10:58,17.725025,78.254494,538.80,12,85.59
29/07/2025 06:11:01,17.725080,78.254631,537.40,12,38.27
29/07/2025 06:11:04,17.725224,78.254662,537.10,12,357.14
29/07/2025 06:11:07,17.725393,78.254662,535.40,12,356.32
29/07/2025 06:11:11,17.725658,78.254669,535.30,12,358.27
29/07/2025 06:11:14,17.725838,78.254662,534.90,12,357.28
29/07/2025 06:11:17,17.725950,78.254669,533.50,12,359.96
29/07/2025 06:11:20,17.725994,78.254662,532.80,12,359.21
29/07/2025 06:11:23,17.726067,78.254669,533.30,12,359.75
29/07/2025 06:11:26,17.726204,78.254662,532.90,12,358.38
29/07/2025 06:11:29,17.726366,78.254662,532.20,12,356.09
29/07/2025 06:11:32,17.726547,78.254654,531.40,12,356.68
29/07/2025 06:11:35,17.726738,78.254646,530.40,12,356.32
29/07/2025 06:11:39,17.726963,78.254639,529.10,12,358.88
29/07/2025 06:11:42,17.727087,78.254631,527.50,12,358.80
29/07/2025 06:11:45,17.727169,78.254631,526.90,12,358.37
29/07/2025 06:11:48,17.727238,78.254639,526.80,12,5.41
29/07/2025 06:11:51,17.727316,78.254646,527.10,12,1.48
29/07/2025 06:11:54,17.727406,78.254654,528.10,12,7.14
29/07/2025 06:11:57,17.727457,78.254677,530.70,12,19.35
29/07/2025 06:12:00,17.727530,78.254745,531.40,12,56.95
29/07/2025 06:12:03,17.727585,78.254837,531.50,12,57.05
29/07/2025 06:12:07,17.727654,78.254944,533.30,12,54.61
29/07/2025 06:12:10,17.727736,78.255074,537.00,12,57.46
29/07/2025 06:12:13,17.727825,78.255219,537.00,12,58.83
29/07/2025 06:12:16,17.727911,78.255379,538.00,12,61.20
29/07/2025 06:12:19,17.728008,78.255547,538.90,12,59.60
29/07/2025 06:12:22,17.728119,78.255737,540.50,12,59.83
29/07/2025 06:12:25,17.728230,78.255936,541.20,12,60.50
29/07/2025 06:12:28,17.728334,78.256119,540.90,12,59.27
29/07/2025 06:12:31,17.728430,78.256294,542.30,12,59.47
29/07/2025 06:12:35,17.728531,78.256477,543.40,12,60.04
29/07/2025 06:12:38,17.728569,78.256554,543.80,12,66.04
29/07/2025 06:12:41,17.728600,78.256607,543.70,12,58.71
29/07/2025 06:12:44,17.728642,78.256683,544.00,12,60.74
29/07/2025 06:12:47,17.728718,78.256836,543.40,12,64.60
29/07/2025 06:12:50,17.728804,78.257011,543.50,12,62.56
29/07/2025 06:12:53,17.728926,78.257240,543.30,12,58.98
29/07/2025 06:12:56,17.729090,78.257507,543.00,11,57.63
29/07/2025 06:13:00,17.729317,78.257866,542.10,12,57.35
29/07/2025 06:13:03,17.729467,78.258125,541.50,12,60.00
29/07/2025 06:13:06,17.729597,78.258339,541.40,12,57.10
29/07/2025 06:13:09,17.729696,78.258514,541.00,12,59.62
29/07/2025 06:13:12,17.729748,78.258606,540.10,12,60.25
29/07/2025 06:13:15,17.729776,78.258659,540.10,12,60.52
29/07/2025 06:13:18,17.729839,78.258789,540.40,12,59.88
29/07/2025 06:13:21,17.729929,78.258949,540.60,12,60.18
29/07/2025 06:13:24,17.730042,78.259155,540.60,12,60.39
29/07/2025 06:13:28,17.730227,78.259483,541.20,12,58.96
29/07/2025 06:13:31,17.730375,78.259743,541.10,12,59.53
29/07/2025 06:13:34,17.730534,78.260025,539.80,12,60.17
